keys,en,fr,da
test,This is a test,C'est un test,TODO
Settings,Settings,Réglages,TODO
Fullscreen,Fullscreen,Plein écran,TODO
Resolution,Resolution,Résolution,TODO
Volume: Main,Volume: Main,Volume: Principal,TODO
Volume: Music,Volume: Music,Volume: Musique,TODO
Volume: Sound,Volume: Sound,Volume: Son,TODO
Back,Back,Retour,TODO
Close,Close,Fermer,TODO
Quit,Quit,Quitter,TODO
Start,Start,Démarrer,TODO
Continue,Continue,Continuer,TODO
Language,Language,Langue,TODO
locale_en,English,English,TODO
locale_fr,Français,Français,TODO
Quit game,Quit game,Quitter le jeu,TODO
Credits,Credits,Crédits,TODO
Sell cargo,Sell cargo,Vendre cargaison,TODO
Sell,Sell,Vendre,TODO
Value,Value,Valeur,TODO
Repair,Repair,Réparer,TODO
Upgrade,Upgrade,Améliorer,TODO
Plasma,Plasma,Plasma,TODO
Railbeam,Railbeam,Fusils laser,TODO
Disruptor,Disruptor,Lance missile,TODO
Plating,Plating,Blindage,TODO
Cargo,Cargo,Cargaison,TODO
Danger Cargo,Danger cargo,Cargaison dangereuse,TODO
Total destruction!,Total destruction!,Destruction totale!,TODO
[color=gray]Contract fulfilled.[/color] Shipped [color=green]%s$[/color] worth of Cargo. [color=gray]The amount has been added to your account.[/color],[color=gray]Contract fulfilled.[/color] Shipped [color=green]%s$[/color] worth of Cargo. [color=gray]The amount has been added to your account.[/color],[color=gray]Contrat rempli.[/color] Transporté [color=green]%s$[/color] de cargaison. [color=gray]Le montant a été versé sur votre compte.[/color],TODO
Current Cargo worth: [color=green]%s$[/color]     [color=gray]Difficulty Multiplier: %s%%[/color],Current Cargo worth: [color=green]%s$[/color]     [color=gray]Difficulty Multiplier: %s%%[/color],Valeur de la cargaison: [color=green]%s$[/color]     [color=gray]Multiplicateur de difficulté: %s%%[/color],TODO
Place at least %s$ worth of cargo before embarking.,Place at least %s$ worth of cargo before embarking.,Placez au moins %s$ de cargaison sur votre vaisseau.,TODO
Embark,Embark,Embarquer,TODO
Currency: %s,Currency: %s,Monnaie: %s,TODO
